row_id,cow_id,age,stage,sex,date_birth,date_death,date_death_expected,is_owned,cause_removal,is_replacement,is_introduced,is_in_common_ranch,is_grazed,parity,date_last_delivery,date_got_pregnant,date_dried,n_ai,day_heat,day_last_heat,day_last_heat_detected,n_heat_from_ai,infection_status,date_ial,date_ipl,date_ipl_expected,date_ebl,date_ebl_expected,cause_infection,susceptibility_ial_to_ipl,susceptibility_ipl_to_ebl,area_id,months_in_area,chamber_id,is_isolated,i_month
57,57,47,milking,female,-14,,111,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,27,,,2,5,16,16,0,s,,,,,,,FALSE,FALSE,2,2,,FALSE,33
58,58,46,milking,female,-13,,35,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,27,30,,0,0,23,23,0,s,,,,,,,FALSE,FALSE,2,1,,FALSE,33
60,60,45,milking,female,-12,,57,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,31,,,0,1,24,9,0,ial,10,,97,,0,insects,TRUE,TRUE,2,0,,FALSE,33
62,62,43,milking,female,-10,,62,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,31,,,0,20,22,13,0,s,,,,,,,TRUE,FALSE,2,7,,FALSE,33
63,63,42,milking,female,-9,,69,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,32,,,0,19,9,15,0,s,,,,,,,TRUE,FALSE,2,6,,FALSE,33
64,64,39,dry,female,-6,,34,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,21,25,,0,0,14,14,0,s,,,,,,,FALSE,FALSE,2,3,,FALSE,33
66,66,38,milking,female,-5,,48,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,32,,,0,12,4,23,0,s,,,,,,,TRUE,FALSE,2,2,,FALSE,33
67,67,38,dry,female,-5,,57,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,20,28,,0,,3,3,0,s,,,,,,,FALSE,FALSE,2,2,,FALSE,33
68,68,37,milking,female,-4,,86,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,22,25,,0,21,30,30,0,s,,,,,,,FALSE,FALSE,2,1,,FALSE,33
69,69,36,milking,female,-3,,44,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,22,26,,0,,14,14,0,ial,33,,,,,insects,FALSE,FALSE,2,0,,FALSE,33
71,71,36,milking,female,-3,,80,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,23,26,,0,0,18,18,0,s,,,,,,,TRUE,FALSE,2,0,,FALSE,33
73,73,33,milking,female,0,,74,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,29,,,4,18,28,28,0,s,,,,,,,TRUE,FALSE,2,6,,FALSE,33
,78,30,milking,female,3,,51,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,31,,,0,24,24,1,0,s,,,,,,,FALSE,FALSE,2,,,,33
,79,30,milking,female,3,,82,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,27,32,,0,11,21,21,0,s,,,,,,,FALSE,FALSE,2,,,,33
,80,30,milking,female,3,,71,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,27,,,2,21,29,3,4,ial,30,,,,,insects,FALSE,FALSE,2,,,,33
,82,29,milking,female,4,,109,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,29,33,,0,0,27,27,0,s,,,,,,,FALSE,FALSE,2,,,,33
,85,29,milking,female,4,,70,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,29,32,,0,0,9,9,0,s,,,,,,,TRUE,FALSE,2,,,,33
,87,27,milking,female,6,,67,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,33,,,0,20,19,13,0,s,,,,,,,TRUE,TRUE,2,,,,33
,90,26,heifer,female,7,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,26,,0,15,24,24,0,s,,,,,,,FALSE,FALSE,2,,,,33
,91,26,milking,female,7,,82,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,31,,,0,26,11,12,0,s,,,,,,,FALSE,FALSE,2,,,,33
,97,26,milking,female,7,,108,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,32,,,0,8,28,25,0,s,,,,,,,FALSE,FALSE,2,,,,33
,98,25,heifer,female,8,,112,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,24,,0,22,30,30,0,ial,9,,,,,insects,FALSE,FALSE,2,,,,33
,100,25,heifer,female,8,,41,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,24,,0,,3,3,0,s,,,,,,,FALSE,FALSE,2,,,,33
,108,22,heifer,female,11,,90,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,25,,0,16,26,26,0,s,,,,,,,TRUE,FALSE,2,,,,33
,109,22,heifer,female,11,,81,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,26,,0,,6,6,0,s,,,,,,,FALSE,FALSE,2,,,,33
,110,22,heifer,female,11,,170,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,27,,0,,6,6,0,s,,,,,,,TRUE,FALSE,2,,,,33
,112,22,heifer,female,11,,91,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,26,,0,17,25,25,0,s,,,,,,,FALSE,FALSE,2,,,,33
,115,21,heifer,female,12,,102,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,26,,0,20,29,29,0,s,,,,,,,FALSE,FALSE,2,,,,33
,116,20,heifer,female,13,,43,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,28,,0,0,12,12,0,s,,,,,,,FALSE,FALSE,2,,,,33
,124,18,heifer,female,15,,58,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,30,,0,0,25,25,0,s,,,,,,,TRUE,FALSE,2,,,,33
,128,17,heifer,female,16,,35,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,32,,0,,13,13,0,s,,,,,,,TRUE,FALSE,2,,,,33
,137,15,heifer,female,18,,86,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,32,,0,,2,2,0,s,,,,,,,FALSE,FALSE,2,,,,33
,138,15,heifer,female,18,,85,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,27,,,,s,,,,,,,TRUE,TRUE,2,,,,33
,141,14,heifer,female,19,,55,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,33,,0,,12,12,0,s,,,,,,,FALSE,FALSE,2,,,,33
,144,13,heifer,female,20,,54,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,7,,,,s,,,,,,,FALSE,FALSE,2,,,,33
,158,9,calf,female,24,,115,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,28,,,,s,,,,,,,FALSE,FALSE,2,,,,33
,159,9,calf,female,24,,145,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,17,,,,s,,,,,,,TRUE,FALSE,2,,,,33
,160,9,calf,female,24,,64,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,23,,,,ial,24,,55,,,vertical,TRUE,FALSE,2,,,,33
,165,7,calf,female,26,,66,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,10,,,,s,,,,,,,FALSE,FALSE,2,,,,33
